연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
1043,충북,괴산군,괴산빨간맛페스티벌,지역특산물-먹거리·로컬장터,2025-05-23,2025-05-25
1046,충북,음성군,제26회 음성품바축제,문화예술-음악·공연,2025-05-21,2025-05-25
1047,충북,음성군,제44회 설성문화제,전통역사-전통·민속,2025-10-17,2025-10-19
1048,충북,음성군,2025 음성명작페스티벌,지역특산물-먹거리·로컬장터,2025-09-25,2025-09-28
1049,충북,단양군,제41회 단양 소백산철쭉제,자연생태-산·숲·생태,2025-05-22,2025-05-25
1051,충남,천안시,천안흥타령춤축제 2024,문화예술-음악·공연,2025-09-24,2025-09-28
1053,충남,천안시,2025 빵지순례 빵빵데이,지역특산물-먹거리·로컬장터,2025-04-19,2025-04-20
1054,충남,천안시,2025 빵빵데이 천안,지역특산물-먹거리·로컬장터,2025-10-18,2025-10-19
1056,충남,공주시,겨울공주 군밤축제,지역특산물-농산물·과일·채소,2025-01-16,2025-01-20
1057,충남,공주시,공주 석장리 구석기축제,전통역사-전통·민속,2025-05-03,2025-05-06
1058,충남,공주시,유구색동수국정원 꽃축제,자연생태-꽃·식물,2025-06-20,2025-06-22
1059,충남,공주시,공주여름축제,문화예술-음악·공연,2025-08-16,2025-08-17
1060,충남,공주시,계룡산 벚꽃축제,자연생태-꽃·식물,2025-03-01,2025-03-16
1061,충남,공주시,계룡산산신제,전통역사-전통·민속,2025-05-09,2025-05-11
1062,충남,공주시,마곡사 신록축제,문화예술-음악·공연,2025-05-03,2025-05-05
1063,충남,공주시,갑사황매화축제,자연생태-산·숲·생태,2025-04-19,2025-04-20
1064,충남,공주시,제70회 백제문화제,전통역사-전통·민속,2025-10-03,2025-10-12
1065,충남,공주시,구절산 구절초 축제,자연생태-산·숲·생태,2025-10-10,2025-10-19
1066,충남,보령시,무창포 주꾸미 도다리 축제,지역특산물-먹거리·로컬장터,2025-03-22,2025-04-13
1067,충남,보령시,주산 벚꽃축제,자연생태-꽃·식물,2025-03-29,2025-03-30
1069,충남,보령시,보령.AMC 국제모터 페스티벌,문화예술-음악·공연,2025-05-03,2025-05-05
1071,충남,보령시,제28회 보령머드축제,지역특산물-먹거리·로컬장터,2025-07-25,2025-08-10
1078,충남,아산시,제64회 아산 성웅 이순신축제,문화예술-음악·공연,2025-04-25,2025-04-27
1081,충남,서산시,제22회 서산해미읍성축제,전통역사-유산·건축,2025-09-26,2025-09-28
1082,충남,서산시,팔봉산감자축제,지역특산물-농산물·과일·채소,2025-06-14,2025-06-15
1083,충남,서산시,서산6쪽마늘축제,지역특산물-먹거리·로컬장터,2025-06-27,2025-06-29
1094,충남,계룡시,제4회 계룡시 도시농업축제,자연생태-산·숲·생태,2025-04-25,2025-04-26
1095,충남,계룡시,25년  사계문화제,전통역사-전통·민속,2025-05-10,2025-05-11
1097,충남,당진시,당진 삽교호 드론 라이트 쇼,문화예술-음악·공연,2025-04-19,2025-11-01
1098,충남,당진시,왜목마을해넘이해돋이소원제,자연생태-산·숲·생태,2025-12-31,2026-01-01
1099,충남,당진시,제1회 면천의 봄,자연생태-산·숲·생태,2025-04-04,2025-04-06
1100,충남,당진시,기지시줄다리기축제,전통역사-전통·민속,2025-04-10,2025-04-13
1101,충남,당진시,당진 합덕 연꽃축제,자연생태-꽃·식물,2025-06-20,2025-06-22
1102,충남,당진시,제48회 심훈상록문화제,전통역사-전통·민속,2025-10-17,2025-10-19
1103,충남,당진시,남이흥 장군 문화제,전통역사-전통·민속,2025-10-24,2025-10-25
1106,충남,당진시,제17회 순성 벚꽃축제,자연생태-꽃·식물,2025-04-12,2025-04-13
1107,충남,당진시,제16회 순성왕매실&당진맥주축제,지역특산물-술·음료,2025-06-21,2025-06-22
1108,충남,당진시,제22회 당진면천읍성축제,전통역사-유산·건축,2025-09-20,2025-09-21
1109,충남,금산군,재43회 금산세계인삼축제,지역특산물-먹거리·로컬장터,2025-09-19,2025-09-28
1110,충남,금산군,제5회 금산삼계탕축제,지역특산물-먹거리·로컬장터,2025-05-30,2025-06-01
1114,충남,부여군,제23회 부여서동연꽃축제,문화예술-음악·공연,2025-07-04,2025-07-06
1115,충남,부여군,제71회 백제문화제,전통역사-전통·민속,2025-10-03,2025-10-12
1116,충남,부여군,제20회 부여 굿뜨래 알밤축제,지역특산물-농산물·과일·채소,2025-10-01,2025-10-10
